City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Carnarvon,AU,2022-05-21 21:31:40,-24.8667,113.6333,70.7,67,98,10.36
99,Berezovyy,RU,2022-05-21 21:31:41,51.6667,135.7,39.97,97,100,4.76
100,Khatanga,RU,2022-05-21 21:31:41,71.9667,102.5,35.47,94,99,5.5
101,Poum,NC,2022-05-21 21:31:42,-20.2333,164.0167,77.56,81,29,2.77
102,Provideniya,RU,2022-05-21 21:31:42,64.3833,-173.3,52.43,47,99,9.44
103,Barrow,US,2022-05-21 21:28:28,71.2906,-156.7887,23.02,86,100,11.5
104,Salinopolis,BR,2022-05-21 21:31:02,-0.6136,-47.3561,77.49,85,89,3.89
105,Butaritari,KI,2022-05-21 21:30:09,3.0707,172.7902,81.1,79,98,10.78
106,San Cristobal,VE,2022-05-21 21:31:43,7.7669,-72.225,78.98,53,53,5.82
107,Sven,RU,2022-05-21 21:31:44,53.1822,34.5511,48.31,99,100,6.4
108,Viedma,AR,2022-05-21 21:27:02,-40.8135,-62.9967,58.33,40,2,8.93
109,Sao Bento Do Sul,BR,2022-05-21 21:31:44,-26.2503,-49.3786,52.23,93,4,0.92
110,Chornukhy,UA,2022-05-21 21:31:45,50.2673,32.942,55.22,94,63,17.27
111,Carbonia,IT,2022-05-21 21:31:45,39.1672,8.5222,68.02,55,9,3.24
112,Tambura,SS,2022-05-21 21:31:46,5.6,27.4667,69.46,94,100,1.61
113,Severo-Yeniseyskiy,RU,2022-05-21 21:31:46,60.3725,93.0408,37.94,93,19,4.56
114,Paamiut,GL,2022-05-21 21:31:46,61.994,-49.6678,36.95,87,71,25.41
115,Benghazi,LY,2022-05-21 21:31:47,32.1167,20.0667,65.97,82,0,10.29
116,Hovd,MN,2022-05-21 21:31:47,48.0056,91.6419,55.63,30,15,1.9
117,Kilindoni,TZ,2022-05-21 21:31:48,-7.9139,39.6668,79.3,77,49,9.8
118,Bardiyah,LY,2022-05-21 21:31:48,31.7561,25.0865,65.16,75,0,19.33
119,Russell,US,2022-05-21 21:31:48,32.3502,-85.1999,89.2,51,0,6.91
120,Boden,SE,2022-05-21 21:31:49,65.8252,21.6886,48.2,66,66,4.74
121,Coihaique,CL,2022-05-21 21:30:08,-45.5752,-72.0662,39.81,93,100,2.17
122,Bereda,ES,2022-05-21 21:31:49,43.2686,-7.5406,60.46,93,100,4.99
123,Serebryanyy Bor,RU,2022-05-21 21:31:50,56.8,124.8,36.07,92,98,3.33
124,Zacapa,GT,2022-05-21 21:31:50,14.9667,-89.5333,98.37,34,100,9.22
125,Yellowknife,CA,2022-05-21 21:31:51,62.456,-114.3525,54.12,54,75,9.22
126,Borogontsy,RU,2022-05-21 21:31:51,62.6683,131.1683,46.6,74,31,5.86
127,Nanortalik,GL,2022-05-21 21:31:52,60.1432,-45.2371,39.0,80,43,2.89
128,Qaanaaq,GL,2022-05-21 21:31:52,77.484,-69.3632,18.9,84,100,1.83
129,Lima,PE,2022-05-21 21:31:53,-12.0432,-77.0282,61.39,32,100,6.91
130,Hermanus,ZA,2022-05-21 21:31:53,-34.4187,19.2345,56.98,77,28,6.69
131,Igarka,RU,2022-05-21 21:31:54,67.4667,86.5833,38.21,98,96,6.55
132,Kapaa,US,2022-05-21 21:31:54,22.0752,-159.319,81.48,88,20,9.22
133,Meulaboh,ID,2022-05-21 21:31:54,4.1363,96.1285,77.02,88,100,1.66
134,Sisimiut,GL,2022-05-21 21:31:55,66.9395,-53.6735,38.32,69,100,1.41
135,Kaffrine,SN,2022-05-21 21:31:55,14.1059,-15.5508,81.64,43,98,13.13
136,Posse,BR,2022-05-21 21:31:56,-14.0931,-46.3694,66.79,40,1,2.37
137,Mariana,BR,2022-05-21 21:31:56,-20.3778,-43.4161,54.93,78,0,0.4
138,Sydney,AU,2022-05-21 21:29:36,-33.8679,151.2073,59.29,85,75,9.22
139,Ahipara,NZ,2022-05-21 21:29:42,-35.1667,173.1667,61.18,76,100,12.5
