City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
386,Riyadh,SA,87.94,clear sky,24.69,46.72,"InterContinental Riyadh, an IHG Hotel"
393,Miyoshi,JP,80.78,clear sky,35.08,137.07,ホテル マイン 豊田
408,Jining,CN,86.97,clear sky,35.41,116.58,Yunhe Star Hotel
409,Morgan City,US,77.02,clear sky,29.7,-91.21,Hampton Inn & Suites Morgan City
410,Jahangirpur,IN,86.32,clear sky,28.18,77.72,Fozi Hotel
417,Maragogi,BR,75.81,scattered clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
421,Laguna,US,89.58,clear sky,38.42,-121.42,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
423,Playa Vicente,MX,83.1,clear sky,17.83,-95.82,"Hotel ""Imperio"""
429,Nabire,ID,85.84,broken clouds,-3.37,135.48,Hotel Nusantara I
435,Dengzhou,CN,77.04,overcast clouds,37.81,120.75,Greentree Inn Penglai Free Harbor Business Hotel
437,Panaba,MX,80.78,clear sky,21.28,-88.27,Hotel Amor
441,Ibra,OM,82.13,clear sky,22.69,58.53,مزرعة راحة النفوس المنزفة
444,Qui Nhon,VN,85.75,scattered clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
447,Harper,LR,76.26,overcast clouds,4.38,-7.72,Screensaver
448,Banjar,ID,86.18,overcast clouds,-8.19,114.97,The Hamsa Resort
452,Muli,MV,83.34,broken clouds,2.92,73.57,Medhufushi Island Resort
453,Dawei,MM,76.32,light rain,14.08,98.2,Hotel Dawei
458,Samarai,PG,82.96,few clouds,-10.62,150.67,Nuli Sapi
467,Manzanillo,CU,77.02,overcast clouds,20.34,-77.12,Adrian & Tonia
468,Karachi,PK,85.82,smoke,24.91,67.08,Quetta Mubarak Hotel
478,Kushima,JP,75.65,overcast clouds,31.46,131.23,Hanaoka
479,Gigmoto,PH,85.33,moderate rain,13.78,124.39,Cj's Travellers Inn
480,San Angelo,US,79.02,clear sky,31.46,-100.44,"Motel 6 San Angelo, TX"
481,Houma,US,78.01,clear sky,29.6,-90.72,Courtyard by Marriott Houma
488,Cairns,AU,83.1,overcast clouds,-16.92,145.77,Mantra Trilogy Cairns
492,Santa Rosalia,MX,79.3,clear sky,27.32,-112.28,Hotel Las Casitas Santa Rosalia
495,Pedernales,DO,79.54,broken clouds,18.04,-71.74,Hotel Costa Marina
497,Jacksonville,US,80.71,broken clouds,30.33,-81.66,Hyatt Regency Jacksonville Riverfront
504,Changji,CN,75.99,clear sky,44.02,87.32,Lvye Holiday Resort
508,Hambantota,LK,82.74,few clouds,6.12,81.12,Bungalow 63
511,Trincomalee,LK,84.83,scattered clouds,8.57,81.23,Welcombe Hotel
514,Labuan,MY,84.56,few clouds,5.28,115.24,Tiara Labuan Hotel
517,Tura,IN,82.02,clear sky,25.52,90.22,Hotel RIKMAN Continental
519,Ahuimanu,US,82.11,scattered clouds,21.44,-157.84,Paradise Bay Resort
520,Manggar,ID,86.63,broken clouds,-2.88,108.27,Guest Hotel
531,Kawalu,ID,84.87,broken clouds,-7.38,108.21,West Jontor
534,Port Hedland,AU,84.25,broken clouds,-20.32,118.57,The Esplanade Hotel
537,Padang,ID,82.45,overcast clouds,-0.95,100.35,Mercure Padang
544,Mazagao,BR,77.05,overcast clouds,-0.12,-51.29,Casa Lima Santos
546,Sancti Spiritus,CU,75.56,broken clouds,21.93,-79.44,Hostal El Parque
547,Kupang,ID,87.57,broken clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
564,Novo Aripuana,BR,75.31,broken clouds,-5.12,-60.38,Hotel Ypê
565,Salalah,OM,82.49,broken clouds,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
567,Redlands,US,78.31,haze,34.06,-117.18,Dynasty Suites Redlands
